,City,Cloudiness,Country,Date,Humidity,Lat.,Lng.,Max Temp,Wind Speed
0,vostok,76,RU,1580015416,80,46.49,135.88,7.09,7.49
1,poplar bluff,1,US,1580015818,75,36.76,-90.39,41.0,1.3
2,new norfolk,75,AU,1580015930,30,-42.78,147.06,69.8,21.92
3,hervey bay,40,AU,1580015930,43,-25.3,152.85,88.0,11.41
4,high level,90,CA,1580015931,100,58.52,-117.14,17.6,9.17
5,puerto ayora,33,EC,1580015931,26,-0.74,-90.35,75.0,12.55
6,san carlos,37,VE,1580015931,57,9.66,-68.58,73.78,3.22
7,chuy,1,UY,1580015931,82,-33.7,-53.46,64.38,2.93
8,victoria,20,HK,1580015309,77,22.29,114.16,64.99,9.17
9,rikitea,24,PF,1580015931,78,-23.12,-134.97,78.73,11.1
10,bluff,79,NZ,1580015931,58,-46.6,168.33,69.01,11.01
11,nohar,0,IN,1580015931,34,29.18,74.77,68.43,1.86
12,clyde river,1,CA,1580015931,60,70.47,-68.59,-25.6,10.29
13,coahuayana,81,MX,1580015932,89,18.73,-103.68,67.37,4.54
14,galle,98,LK,1580015932,81,6.04,80.22,79.36,6.31
15,lukovetskiy,40,RU,1580015932,83,64.3,41.92,-9.4,2.73
16,mar del plata,0,AR,1580015719,76,-38.0,-57.56,64.0,1.32
17,akhmim,0,EG,1580015932,50,26.56,31.75,42.8,3.36
18,bonthe,23,SL,1580015692,95,7.53,-12.51,73.65,5.55
19,punta arenas,20,CL,1580015932,70,-53.15,-70.92,48.2,12.75
20,busselton,99,AU,1580015904,19,-33.65,115.33,93.99,17.54
21,mazagao,75,BR,1580015932,100,-0.12,-51.29,78.8,13.87
22,chengde,0,CN,1580015775,47,40.97,117.94,30.81,0.87
23,jamestown,90,US,1580015933,100,42.1,-79.24,33.8,14.99
24,khatanga,57,RU,1580015916,98,71.97,102.5,-21.73,3.04
25,tuktoyaktuk,90,CA,1580015933,75,69.45,-133.04,-14.8,24.16
26,vaini,90,TO,1580015933,94,-21.2,-175.2,78.8,9.17
27,tarakan,28,ID,1580015933,76,3.3,117.63,83.68,6.11
28,dikson,100,RU,1580015933,96,73.51,80.55,-4.9,3.65
29,vila franca do campo,40,PT,1580015925,82,37.72,-25.43,57.2,2.24
30,east london,20,ZA,1580015934,83,-33.02,27.91,71.6,13.87
31,richards bay,1,ZA,1580015934,77,-28.78,32.04,78.94,22.84
32,lata,40,PT,1580015352,100,40.16,-8.33,48.99,2.24
33,kapaa,75,US,1580015934,69,22.08,-159.32,77.0,3.36
34,coihaique,4,CL,1580015934,50,-45.58,-72.07,57.2,3.36
35,bilma,51,NE,1580015934,17,18.69,12.92,56.26,9.19
36,hobart,77,AU,1580015764,30,-42.88,147.33,70.0,21.92
37,cidreira,41,BR,1580015934,58,-30.18,-50.21,76.05,7.02
38,lorengau,61,PG,1580015935,71,-2.02,147.27,85.14,9.78
39,mataura,69,NZ,1580015935,58,-46.19,168.86,69.01,11.01
40,aklavik,90,CA,1580015935,68,68.22,-135.01,-14.8,9.17
41,madang,20,PG,1580015935,78,-5.22,145.8,84.18,9.91
42,nome,1,US,1580015374,75,64.5,-165.41,-18.4,8.72
43,sur,13,OM,1580015743,58,22.57,59.53,74.91,6.69
44,torbay,5,CA,1580015935,85,47.67,-52.73,21.0,13.87
45,tyret pervaya,88,RU,1580015935,85,53.67,102.31,20.25,5.86
46,corinto,20,GR,1580015936,93,37.94,22.96,52.0,1.81
47,port macquarie,67,AU,1580015936,55,-31.43,152.92,86.0,14.99
48,butaritari,99,KI,1580015936,72,3.07,172.79,85.71,8.84
49,ribeira grande,100,PT,1580015936,72,38.52,-28.7,54.16,3.51
50,launceston,40,AU,1580015916,37,-41.45,147.17,75.0,17.22
51,road town,90,VG,1580015936,74,18.42,-64.62,78.8,11.41
52,ushuaia,72,AR,1580015936,96,-54.8,-68.3,35.38,5.95
53,lebu,1,CL,1580015936,92,-37.62,-73.65,59.67,6.4
54,khuzdar,0,PK,1580015936,32,27.74,66.64,54.64,2.73
55,deputatskiy,58,RU,1580015340,100,69.3,139.9,-40.81,0.58
56,hithadhoo,100,MV,1580015929,79,-0.6,73.08,83.01,12.75
57,sao filipe,13,CV,1580015937,63,14.9,-24.5,74.46,17.58
58,kaitangata,52,NZ,1580015937,86,-46.28,169.85,58.24,11.54
59,thinadhoo,95,MV,1580015421,79,0.53,72.93,82.69,15.39
60,marilandia,100,BR,1580015937,98,-19.41,-40.54,71.6,2.19
61,kilindoni,100,TZ,1580015937,86,-7.91,39.67,78.55,5.26
62,bambous virieux,40,MU,1580015937,78,-20.34,57.76,82.0,14.99
63,barra dos coqueiros,40,BR,1580015937,83,-10.91,-37.04,82.4,9.17
64,ponta do sol,40,PT,1580015938,71,32.67,-17.1,57.2,3.36
65,hilo,90,US,1580015938,65,19.73,-155.09,77.0,3.36
66,ternate,74,ID,1580015938,68,0.8,127.4,84.2,5.48
67,touros,75,BR,1580015938,94,-5.2,-35.46,78.8,3.36
68,qaanaaq,58,GL,1580015938,46,77.48,-69.36,-12.08,4.68
69,sukumo,100,JP,1580015938,85,32.93,132.73,52.32,3.4
70,caravelas,100,BR,1580015364,87,-17.71,-39.25,79.93,19.98
71,maniitsoq,100,GL,1580015938,78,65.42,-52.9,12.56,9.44
72,cap-aux-meules,80,CA,1580015938,82,47.38,-61.86,28.33,13.35
73,tasiilaq,100,GL,1580015939,86,65.61,-37.64,26.6,31.09
74,omsukchan,100,RU,1580015939,99,62.53,155.8,-27.22,9.35
75,adeje,20,ES,1580015939,51,28.12,-16.73,60.8,10.29
76,lagoa,100,PT,1580015939,64,39.05,-27.98,57.9,8.25
77,albany,90,US,1580015930,86,42.6,-73.97,37.99,6.73
